order_id,order_date,total_amount,user_id,city,membership,restaurant_id,restaurant_name,cuisine,rating
40,25-07-2023,622.5,2773,Pune,Gold,63,Ruchi Foods South Indian,Italian,5.0
41,09-01-2023,753.16,1071,Hyderabad,Gold,145,Amma Restaurant South Indian,Italian,3.1
42,21-01-2023,955.51,2274,Chennai,Regular,121,Sri Delights Non-Veg,Indian,4.1
43,26-03-2023,850.52,380,Bangalore,Regular,256,Sri Curry House Andhra,Italian,3.1
44,04-12-2023,512.14,633,Pune,Gold,161,Annapurna Biryani South Indian,Mexican,3.8
45,13-09-2023,914.87,1146,Pune,Gold,426,Royal Foods Non-Veg,Chinese,3.5
46,25-12-2023,602.82,2294,Pune,Regular,72,Sri Foods Chinese,Mexican,3.4
47,30-09-2023,929.24,505,Hyderabad,Gold,69,Classic Tiffins Punjabi,Chinese,4.9
48,30-11-2023,957.14,372,Chennai,Regular,397,Amma Foods Family Restaurant,Indian,4.8
49,10-02-2023,183.82,2911,Pune,Regular,234,Swagath Kitchen North Indian,Chinese,3.7
50,26-09-2023,298.54,1673,Chennai,Regular,118,Amma Mess Pure Veg,Mexican,3.8
51,10-05-2023,893.66,1853,Hyderabad,Gold,381,New Delights North Indian,Italian,4.6
52,18-08-2023,1423.59,799,Chennai,Regular,462,Grand Curry House Family Restaurant,Italian,3.1
53,14-12-2023,261.16,638,Hyderabad,Regular,262,Hotel Cafe Punjabi,Chinese,4.9
54,06-09-2023,334.11,1042,Pune,Gold,266,Annapurna Delights Multicuisine,Italian,3.9
55,08-06-2023,838.38,2610,Pune,Regular,172,Darbar Eatery Family Restaurant,Italian,3.9
56,20-10-2023,1499.8,2560,Pune,Gold,215,Spice Biryani Punjabi,Mexican,4.4
57,16-06-2023,852.11,392,Chennai,Regular,273,Swagath Delights Andhra,Indian,3.9
58,22-02-2023,1281.55,606,Hyderabad,Gold,361,Royal Dhaba Punjabi,Indian,4.5
59,07-11-2023,169.22,1785,Bangalore,Gold,247,Hotel Mess Punjabi,Mexican,3.2
60,10-04-2023,544.55,1077,Chennai,Regular,373,Sai Delights Chinese,Indian,3.6
61,30-08-2023,1134.71,1753,Hyderabad,Gold,130,Royal Restaurant South Indian,Indian,4.6
62,24-11-2023,722.78,723,Bangalore,Gold,165,Udupi Kitchen Chinese,Mexican,4.3
63,27-07-2023,1107.3,205,Pune,Gold,339,Annapurna Eatery South Indian,Indian,3.1
64,09-03-2023,625.41,1565,Pune,Regular,189,Hotel Curry House Non-Veg,Indian,4.8
65,07-04-2023,881.86,2905,Pune,Gold,220,Spice Kitchen North Indian,Mexican,3.2
66,12-08-2023,1356.31,340,Chennai,Regular,70,Swagath Delights Punjabi,Chinese,4.7
67,07-08-2023,781.02,2716,Pune,Regular,233,Grand Cafe Family Restaurant,Italian,4.5
68,19-04-2023,165.97,850,Chennai,Regular,292,Amma Cafe North Indian,Mexican,4.0
69,10-07-2023,1377.54,929,Chennai,Gold,162,New Foods Multicuisine,Italian,3.3
70,23-09-2023,890.18,179,Bangalore,Regular,463,Hotel Delights Chinese,Chinese,3.2
71,18-05-2023,1401.97,773,Pune,Gold,256,Sri Curry House Andhra,Italian,3.1
72,28-11-2023,575.36,204,Bangalore,Regular,413,Sai Curry House Punjabi,Italian,3.3
73,19-04-2023,765.76,1725,Bangalore,Gold,80,Spice Mess Chinese,Italian,3.9
74,01-12-2023,1223.01,1284,Chennai,Regular,229,Ruchi Mess Family Restaurant,Italian,3.8
75,22-08-2023,700.31,849,Pune,Regular,444,Classic Cafe Family Restaurant,Chinese,4.7
76,28-08-2023,1117.61,1565,Pune,Regular,233,Grand Cafe Family Restaurant,Italian,4.5
77,22-10-2023,851.28,1632,Bangalore,Regular,80,Spice Mess Chinese,Italian,3.9
78,24-12-2023,271.81,2286,Chennai,Regular,432,Hotel Eatery Pure Veg,Mexican,5.0
79,09-03-2023,1052.51,1396,Pune,Gold,242,Classic Dhaba Punjabi,Mexican,4.0
80,23-02-2023,1323.7,1965,Hyderabad,Gold,291,Annapurna Foods Non-Veg,Mexican,4.3
81,18-08-2023,537.78,2320,Hyderabad,Gold,368,Sri Dhaba Pure Veg,Indian,4.4
82,11-01-2023,1326.03,38,Chennai,Gold,257,Sri Kitchen Family Restaurant,Italian,3.4
83,03-09-2023,961.02,1149,Chennai,Gold,347,Amma Delights Chinese,Chinese,4.8
84,29-12-2023,488.53,2879,Pune,Gold,196,Hotel Curry House Chinese,Italian,5.0
85,12-11-2023,1102.52,2917,Bangalore,Gold,201,Spice Cafe Pure Veg,Mexican,3.4
86,28-10-2023,1018.04,2563,Hyderabad,Regular,423,Royal Tiffins Multicuisine,Indian,3.2
87,14-04-2023,1103.42,1750,Pune,Gold,385,Ruchi Mess Multicuisine,Chinese,4.4
88,01-06-2023,196.11,58,Bangalore,Regular,320,Hotel Cafe Multicuisine,Italian,4.1
89,20-06-2023,619.05,1619,Bangalore,Regular,158,Hotel Biryani Pure Veg,Indian,4.5
90,16-01-2023,264.05,2760,Hyderabad,Regular,320,Hotel Cafe Multicuisine,Italian,4.1
91,07-07-2023,391.36,2309,Chennai,Gold,476,Royal Curry House Multicuisine,Mexican,3.4
92,07-01-2023,870.09,81,Chennai,Regular,200,Annapurna Restaurant Pure Veg,Chinese,3.9
93,22-01-2023,441.18,2874,Hyderabad,Regular,1,Royal Kitchen Family Restaurant,Chinese,4.8
94,10-12-2023,285.28,587,Chennai,Regular,176,Classic Delights North Indian,Italian,4.0
95,20-02-2023,795.58,570,Bangalore,Gold,280,Taste of Dhaba Andhra,Chinese,3.7
96,17-09-2023,711.84,1048,Pune,Regular,157,Sai Restaurant Family Restaurant,Italian,4.5
97,18-09-2023,190.14,614,Hyderabad,Regular,335,New Biryani Family Restaurant,Italian,3.9
98,05-12-2023,1225.83,1135,Bangalore,Regular,161,Annapurna Biryani South Indian,Mexican,3.8
99,25-11-2023,146.68,549,Pune,Gold,11,Taste of Kitchen Family Restaurant,Chinese,4.9
100,15-12-2023,632.94,2811,Bangalore,Gold,484,Taste of Biryani Punjabi,Mexican,4.2
101,24-09-2023,852.59,1337,Bangalore,Regular,96,Annapurna Biryani Non-Veg,Mexican,4.4
102,07-03-2023,913.83,991,Pune,Regular,482,Classic Tiffins Pure Veg,Chinese,4.5
103,11-04-2023,1017.18,1922,Chennai,Gold,492,Swagath Kitchen North Indian,Italian,4.0
104,03-10-2023,1191.17,1115,Chennai,Regular,379,New Dhaba South Indian,Mexican,4.1
105,01-06-2023,109.14,804,Bangalore,Gold,407,Grand Cafe Chinese,Mexican,4.6
106,18-11-2023,1352.79,2873,Pune,Gold,68,Taste of Biryani Andhra,Italian,4.1
107,05-03-2023,1037.09,1118,Pune,Gold,388,Spice Cafe South Indian,Indian,3.9
108,16-04-2023,1375.29,1493,Chennai,Regular,5,Udupi Foods South Indian,Chinese,4.8
109,27-05-2023,1461.82,532,Hyderabad,Gold,432,Hotel Eatery Pure Veg,Mexican,5.0
110,04-06-2023,932.09,1350,Bangalore,Gold,220,Spice Kitchen North Indian,Mexican,3.2
111,30-03-2023,1346.23,1416,Pune,Regular,66,Swagath Dhaba Punjabi,Italian,4.7
112,15-11-2023,149.76,2446,Bangalore,Gold,447,Amma Biryani South Indian,Chinese,3.2
113,13-04-2023,475.81,2265,Pune,Gold,28,Swagath Delights Multicuisine,Chinese,3.6
114,29-07-2023,842.42,142,Pune,Regular,390,Grand Restaurant Pure Veg,Mexican,4.7
115,17-02-2023,367.72,827,Chennai,Gold,184,Annapurna Tiffins Punjabi,Mexican,3.5
116,12-03-2023,296.82,2476,Pune,Regular,319,Darbar Eatery Family Restaurant,Indian,3.1
117,07-05-2023,1485.31,1449,Pune,Gold,328,Ruchi Curry House Andhra,Mexican,4.6
118,22-07-2023,880.41,1209,Bangalore,Gold,209,Royal Tiffins Family Restaurant,Indian,3.6
119,18-09-2023,1008.64,1741,Pune,Gold,257,Sri Kitchen Family Restaurant,Italian,3.4
120,06-08-2023,1146.39,1385,Bangalore,Regular,379,New Dhaba South Indian,Mexican,4.1
121,31-07-2023,930.64,383,Hyderabad,Regular,438,Grand Biryani Pure Veg,Italian,3.2
122,01-08-2023,769.46,2661,Chennai,Gold,376,Amma Cafe Non-Veg,Indian,3.4
123,17-12-2023,1492.73,2440,Pune,Regular,73,Spice Mess Andhra,Mexican,3.1
124,07-06-2023,996.95,257,Chennai,Regular,102,Darbar Foods Andhra,Italian,4.9
125,09-10-2023,1345.86,1649,Chennai,Gold,14,Taste of Tiffins North Indian,Indian,3.8
126,29-09-2023,320.68,970,Bangalore,Regular,122,Amma Eatery Non-Veg,Indian,3.9
127,04-01-2023,1251.4,2913,Pune,Gold,309,Ruchi Curry House Multicuisine,Indian,4.5
128,10-06-2023,379.57,42,Bangalore,Regular,152,Hotel Curry House Punjabi,Indian,4.8
129,28-11-2023,158.62,1227,Hyderabad,Gold,46,Udupi Delights Family Restaurant,Chinese,3.6
130,05-09-2023,710.77,1128,Pune,Gold,418,Annapurna Foods Multicuisine,Chinese,3.3
131,10-08-2023,1406.07,2850,Hyderabad,Gold,389,Ruchi Mess Multicuisine,Italian,4.9
132,03-03-2023,198.22,778,Hyderabad,Gold,302,Spice Curry House Andhra,Mexican,4.9
133,29-03-2023,872.28,2384,Pune,Regular,165,Udupi Kitchen Chinese,Mexican,4.3
134,24-03-2023,775.17,45,Hyderabad,Gold,220,Spice Kitchen North Indian,Mexican,3.2
135,09-11-2023,365.07,912,Bangalore,Regular,483,Darbar Restaurant Family Restaurant,Chinese,4.5
136,16-02-2023,968.84,2643,Chennai,Regular,175,Sai Biryani Non-Veg,Chinese,4.1
137,27-05-2023,1401.56,1603,Chennai,Gold,20,Hotel Cafe Punjabi,Indian,3.7
138,09-05-2023,1140.38,880,Pune,Regular,384,Annapurna Biryani Andhra,Mexican,4.6
139,20-04-2023,1446.43,1639,Hyderabad,Regular,19,Classic Biryani Chinese,Indian,3.6
140,13-03-2023,1381.41,765,Hyderabad,Gold,381,New Delights North Indian,Italian,4.6
141,12-11-2023,1129.47,1831,Hyderabad,Gold,384,Annapurna Biryani Andhra,Mexican,4.6
142,07-02-2023,1331.64,1860,Chennai,Gold,112,Grand Cafe Punjabi,Chinese,3.2
143,22-11-2023,158.75,1729,Chennai,Gold,259,Amma Curry House Family Restaurant,Mexican,3.7
144,16-04-2023,247.03,2519,Chennai,Gold,452,Classic Delights Multicuisine,Chinese,4.4
145,17-09-2023,365.51,1243,Hyderabad,Gold,11,Taste of Kitchen Family Restaurant,Chinese,4.9
146,20-04-2023,1250.74,93,Bangalore,Regular,2,Royal Delights South Indian,Indian,4.1
147,27-05-2023,172.91,1821,Hyderabad,Regular,268,Annapurna Biryani Multicuisine,Indian,3.8
148,06-02-2023,607.82,1975,Bangalore,Regular,73,Spice Mess Andhra,Mexican,3.1
149,24-06-2023,932.79,2337,Bangalore,Gold,345,Sai Tiffins Chinese,Chinese,4.3
150,01-03-2023,1402.24,2136,Hyderabad,Regular,486,Udupi Mess Andhra,Italian,4.1
151,07-12-2023,1148.35,863,Bangalore,Gold,474,Annapurna Tiffins Pure Veg,Mexican,3.5
152,29-09-2023,112.31,2115,Pune,Gold,176,Classic Delights North Indian,Italian,4.0
153,16-02-2023,641.49,2832,Hyderabad,Gold,34,Ruchi Dhaba Multicuisine,Chinese,4.3
154,28-05-2023,221.42,623,Pune,Gold,244,Amma Tiffins South Indian,Italian,4.3
155,12-03-2023,484.27,2523,Pune,Gold,90,Classic Biryani Pure Veg,Italian,4.8
156,02-08-2023,1373.33,282,Chennai,Gold,179,Annapurna Foods Multicuisine,Italian,3.5
157,26-05-2023,439.11,436,Bangalore,Gold,120,Classic Biryani Multicuisine,Italian,3.2
158,16-01-2023,439.9,2732,Hyderabad,Regular,182,Annapurna Restaurant Andhra,Mexican,4.8
159,04-01-2023,1070.88,2152,Chennai,Gold,357,Grand Mess Punjabi,Italian,3.8
160,30-03-2023,139.67,1291,Chennai,Gold,381,New Delights North Indian,Italian,4.6
161,29-09-2023,175.84,354,Chennai,Regular,319,Darbar Eatery Family Restaurant,Indian,3.1
162,06-11-2023,763.73,939,Chennai,Regular,208,New Curry House South Indian,Mexican,4.7
163,26-12-2023,190.64,2852,Pune,Regular,86,Sri Curry House Chinese,Indian,4.2
164,08-08-2023,411.65,2241,Chennai,Regular,104,Grand Dhaba South Indian,Chinese,4.9
165,12-05-2023,761.84,1982,Chennai,Gold,325,Sri Cafe North Indian,Italian,4.5
166,06-10-2023,456.5,1583,Hyderabad,Gold,169,Ruchi Curry House Pure Veg,Italian,4.2
167,11-10-2023,427.18,1644,Bangalore,Regular,483,Darbar Restaurant Family Restaurant,Chinese,4.5
168,15-06-2023,1357.22,1437,Hyderabad,Gold,135,Amma Eatery Non-Veg,Indian,3.7
169,07-04-2023,1013.3,2475,Pune,Gold,320,Hotel Cafe Multicuisine,Italian,4.1
170,09-03-2023,1352.94,2134,Hyderabad,Regular,290,Taste of Kitchen Chinese,Chinese,4.9
171,15-07-2023,1102.1,968,Bangalore,Regular,319,Darbar Eatery Family Restaurant,Indian,3.1
172,22-01-2023,1307.06,1953,Chennai,Gold,332,Classic Delights Family Restaurant,Chinese,4.8
173,18-06-2023,164.31,1352,Pune,Gold,109,Swagath Delights South Indian,Chinese,5.0
174,11-12-2023,1161.71,740,Hyderabad,Gold,371,Sai Dhaba Family Restaurant,Chinese,3.1
175,27-10-2023,1482.75,238,Hyderabad,Regular,379,New Dhaba South Indian,Mexican,4.1
176,17-12-2023,552.39,2544,Hyderabad,Gold,171,Ruchi Mess Non-Veg,Mexican,3.6
177,15-05-2023,1088.98,2271,Pune,Gold,117,Darbar Eatery North Indian,Indian,3.9
178,14-05-2023,1402.18,424,Bangalore,Gold,375,Hotel Delights Multicuisine,Chinese,4.3
179,07-09-2023,703.69,1437,Hyderabad,Gold,91,Annapurna Mess Non-Veg,Italian,4.8
180,19-05-2023,1289.82,816,Chennai,Regular,399,Swagath Cafe Multicuisine,Chinese,3.2
181,20-04-2023,1437.19,1090,Pune,Regular,136,Hotel Cafe South Indian,Indian,3.6
182,09-02-2023,1470.97,131,Chennai,Gold,123,Grand Restaurant Non-Veg,Chinese,4.2
183,26-06-2023,561.65,724,Hyderabad,Regular,489,Swagath Foods Punjabi,Italian,3.0
184,09-03-2023,518.58,1945,Pune,Regular,391,Sri Biryani Family Restaurant,Indian,3.3
185,13-08-2023,105.4,1722,Hyderabad,Gold,54,Ruchi Tiffins Multicuisine,Italian,4.9
186,31-05-2023,1028.25,2704,Pune,Gold,285,Ruchi Eatery North Indian,Mexican,4.8
187,22-06-2023,803.92,2805,Bangalore,Regular,116,Grand Cafe Punjabi,Chinese,4.2
188,30-06-2023,558.85,2666,Chennai,Gold,277,Swagath Restaurant North Indian,Mexican,3.3
189,02-09-2023,805.04,574,Chennai,Regular,442,Sai Eatery Andhra,Italian,3.7
190,13-03-2023,501.58,1542,Bangalore,Regular,237,Grand Restaurant South Indian,Italian,4.5
191,05-05-2023,1340.73,2482,Chennai,Regular,116,Grand Cafe Punjabi,Chinese,4.2
192,24-04-2023,862.55,345,Chennai,Gold,76,Amma Kitchen Punjabi,Italian,4.7
193,20-01-2023,261.66,2405,Bangalore,Regular,126,Spice Tiffins North Indian,Italian,4.5
194,17-07-2023,401.42,914,Bangalore,Regular,183,Taste of Biryani Non-Veg,Chinese,3.7
195,12-02-2023,1179.75,1258,Pune,Regular,58,Sai Biryani Multicuisine,Indian,4.4
196,25-07-2023,967.6,789,Pune,Regular,254,Ruchi Dhaba Chinese,Indian,4.7
197,03-03-2023,619.68,996,Chennai,Gold,58,Sai Biryani Multicuisine,Indian,4.4
198,05-04-2023,1389.57,767,Hyderabad,Gold,243,Grand Tiffins South Indian,Chinese,4.8
199,06-10-2023,844.75,2543,Pune,Regular,94,Taste of Eatery Andhra,Chinese,4.5
200,08-02-2023,258.38,2619,Bangalore,Regular,263,Grand Curry House Andhra,Indian,4.4
201,20-05-2023,375.74,1782,Hyderabad,Gold,49,Amma Curry House Punjabi,Italian,4.0
202,25-02-2023,1169.6,1347,Chennai,Gold,43,Sai Cafe North Indian,Chinese,4.9
203,30-01-2023,986.26,482,Hyderabad,Regular,376,Amma Cafe Non-Veg,Indian,3.4
204,23-10-2023,1164.27,2094,Hyderabad,Gold,364,Sri Foods Non-Veg,Mexican,3.4
205,25-12-2023,121.12,1380,Hyderabad,Regular,54,Ruchi Tiffins Multicuisine,Italian,4.9
206,17-12-2023,200.98,253,Chennai,Regular,308,Annapurna Biryani Family Restaurant,Italian,4.3
207,23-02-2023,1441.98,2453,Pune,Regular,218,Sai Foods Pure Veg,Indian,4.1
208,02-03-2023,1250.84,1642,Bangalore,Gold,352,Hotel Kitchen Multicuisine,Italian,4.7
209,01-02-2023,353.88,761,Pune,Regular,232,New Dhaba Family Restaurant,Mexican,4.0
210,02-05-2023,169.2,1816,Pune,Regular,458,Swagath Mess Pure Veg,Italian,4.8
211,26-12-2023,484.58,1209,Bangalore,Gold,437,Swagath Tiffins Chinese,Indian,3.3
212,10-11-2023,390.16,2339,Pune,Regular,20,Hotel Cafe Punjabi,Indian,3.7
213,24-05-2023,701.52,2626,Bangalore,Gold,374,Annapurna Curry House Multicuisine,Mexican,3.6
214,29-12-2023,1229.36,66,Chennai,Gold,365,Udupi Kitchen Multicuisine,Italian,3.6
215,24-07-2023,334.56,1087,Pune,Regular,446,Annapurna Cafe Andhra,Indian,4.9
216,08-04-2023,455.32,105,Hyderabad,Gold,106,Spice Foods Non-Veg,Indian,4.8
217,20-02-2023,538.3,1846,Chennai,Regular,376,Amma Cafe Non-Veg,Indian,3.4
218,14-03-2023,825.18,327,Hyderabad,Regular,138,Classic Mess Punjabi,Indian,4.8
219,03-02-2023,883.67,430,Hyderabad,Gold,125,Sai Foods Family Restaurant,Chinese,4.3
220,17-12-2023,394.85,1154,Bangalore,Regular,132,Spice Tiffins Chinese,Indian,3.7
221,17-04-2023,616.19,2922,Chennai,Gold,338,Grand Kitchen Non-Veg,Mexican,4.5
222,18-05-2023,572.97,1884,Chennai,Regular,459,Sai Delights Non-Veg,Italian,4.6
223,10-04-2023,1477.26,1118,Pune,Gold,407,Grand Cafe Chinese,Mexican,4.6
224,14-04-2023,1130.13,370,Bangalore,Gold,277,Swagath Restaurant North Indian,Mexican,3.3
225,28-07-2023,491.77,2992,Bangalore,Regular,47,Ruchi Cafe Punjabi,Indian,3.4
226,25-03-2023,307.03,2341,Bangalore,Regular,100,Spice Delights Family Restaurant,Indian,3.3
227,01-03-2023,361.97,77,Pune,Regular,466,Sai Cafe South Indian,Italian,4.9
228,06-02-2023,618.25,2302,Chennai,Regular,196,Hotel Curry House Chinese,Italian,5.0
229,13-12-2023,672.94,760,Chennai,Regular,351,Spice Dhaba Non-Veg,Mexican,4.2
230,24-01-2023,1406.25,2064,Hyderabad,Regular,186,Darbar Restaurant North Indian,Indian,4.3
231,09-01-2023,272.23,399,Bangalore,Regular,280,Taste of Dhaba Andhra,Chinese,3.7
232,11-03-2023,744.13,196,Hyderabad,Gold,419,Darbar Delights Andhra,Chinese,3.6
233,23-08-2023,661.75,2278,Bangalore,Gold,492,Swagath Kitchen North Indian,Italian,4.0
234,08-02-2023,724.11,2342,Pune,Regular,62,Spice Delights Andhra,Indian,3.1
235,23-06-2023,144.79,629,Bangalore,Gold,2,Royal Delights South Indian,Indian,4.1
236,15-05-2023,735.33,1298,Chennai,Gold,349,Taste of Eatery Punjabi,Indian,4.5
237,02-09-2023,379.94,991,Pune,Regular,329,Spice Tiffins Pure Veg,Chinese,3.3
238,30-09-2023,745.99,1695,Bangalore,Gold,140,Royal Tiffins Punjabi,Italian,3.3
239,28-12-2023,572.94,2165,Chennai,Gold,272,New Dhaba Pure Veg,Indian,4.8
240,20-12-2023,1296.96,1879,Hyderabad,Gold,97,Annapurna Delights Andhra,Mexican,3.7
241,19-09-2023,1339.09,2067,Chennai,Gold,438,Grand Biryani Pure Veg,Italian,3.2
242,16-03-2023,809.35,2160,Chennai,Regular,198,Annapurna Tiffins North Indian,Mexican,4.1
243,19-09-2023,1139.5,690,Hyderabad,Gold,17,Udupi Delights Non-Veg,Indian,4.6
244,10-07-2023,506.36,323,Bangalore,Regular,55,Darbar Restaurant Multicuisine,Indian,3.5
245,07-04-2023,793.48,1067,Bangalore,Regular,470,Darbar Foods Multicuisine,Italian,3.6
246,09-08-2023,212.5,2438,Pune,Gold,339,Annapurna Eatery South Indian,Indian,3.1
247,25-06-2023,662.32,170,Hyderabad,Gold,315,Swagath Curry House Chinese,Mexican,4.7
248,02-10-2023,931.29,958,Chennai,Gold,6,Ruchi Restaurant South Indian,Chinese,4.8
249,30-09-2023,238.03,478,Pune,Regular,438,Grand Biryani Pure Veg,Italian,3.2
250,05-06-2023,1067.0,2143,Hyderabad,Regular,406,Spice Foods Non-Veg,Chinese,4.5
251,10-02-2023,248.07,2575,Hyderabad,Regular,250,Sai Foods Non-Veg,Mexican,3.4
252,25-03-2023,1032.04,677,Chennai,Gold,396,Taste of Delights Non-Veg,Mexican,4.8
253,15-10-2023,1117.08,344,Chennai,Gold,316,Darbar Tiffins Andhra,Chinese,4.8
254,15-04-2023,793.84,2588,Hyderabad,Regular,270,Taste of Biryani North Indian,Mexican,3.8
255,10-12-2023,655.05,2125,Pune,Gold,279,Sri Tiffins Andhra,Italian,4.9
256,14-05-2023,212.44,1220,Hyderabad,Regular,205,Sri Mess North Indian,Italian,4.2
257,17-06-2023,965.63,943,Chennai,Regular,396,Taste of Delights Non-Veg,Mexican,4.8
258,27-06-2023,1159.83,968,Bangalore,Regular,481,Sai Restaurant Non-Veg,Indian,4.2
259,06-12-2023,1152.68,775,Chennai,Regular,315,Swagath Curry House Chinese,Mexican,4.7
260,10-08-2023,314.23,2482,Chennai,Regular,70,Swagath Delights Punjabi,Chinese,4.7
261,25-02-2023,369.43,1680,Pune,Regular,187,Royal Kitchen North Indian,Chinese,3.8
262,17-04-2023,256.62,1130,Chennai,Gold,188,Swagath Mess Multicuisine,Chinese,4.6
263,15-06-2023,335.79,1026,Chennai,Gold,247,Hotel Mess Punjabi,Mexican,3.2
264,28-07-2023,141.92,597,Hyderabad,Regular,106,Spice Foods Non-Veg,Indian,4.8
265,28-08-2023,1424.31,803,Hyderabad,Regular,152,Hotel Curry House Punjabi,Indian,4.8
266,26-05-2023,523.34,2519,Chennai,Gold,60,Grand Restaurant North Indian,Mexican,3.6
267,15-05-2023,980.0,956,Chennai,Gold,357,Grand Mess Punjabi,Italian,3.8
268,28-01-2023,403.36,1484,Chennai,Gold,496,Swagath Eatery Multicuisine,Indian,3.1
269,20-07-2023,1300.3,1691,Pune,Gold,339,Annapurna Eatery South Indian,Indian,3.1
270,09-10-2023,1198.77,427,Pune,Gold,332,Classic Delights Family Restaurant,Chinese,4.8
271,29-01-2023,798.3,565,Bangalore,Regular,284,Ruchi Foods Multicuisine,Indian,4.7
272,27-06-2023,1120.81,1489,Bangalore,Regular,331,Spice Biryani Non-Veg,Mexican,3.4
273,14-04-2023,527.2,2316,Hyderabad,Regular,135,Amma Eatery Non-Veg,Indian,3.7
274,11-06-2023,803.59,679,Chennai,Regular,170,Spice Tiffins Family Restaurant,Mexican,4.4
275,18-03-2023,301.25,1754,Chennai,Gold,256,Sri Curry House Andhra,Italian,3.1
276,28-11-2023,269.2,2191,Pune,Gold,125,Sai Foods Family Restaurant,Chinese,4.3
277,25-09-2023,205.98,2403,Pune,Gold,282,Hotel Curry House Chinese,Indian,4.4
278,21-12-2023,1388.57,2124,Hyderabad,Gold,343,Sai Cafe Andhra,Mexican,4.4
279,01-12-2023,916.46,1505,Pune,Gold,493,Darbar Restaurant Multicuisine,Mexican,4.2
280,05-05-2023,1032.33,443,Hyderabad,Regular,263,Grand Curry House Andhra,Indian,4.4
